bostoncollege,Boston College
redemption,Redemption
redemptionacademy,Redemption Academy
texasat,Texas A&T
thaddeusstevens,Thaddeus Stevens
trinitybible,Trinity Bible College
valleyforgemac,Valley Forge MA&C
zoubidacole,Zoubida Cole
chattahoocheetc,Chattahoochee Technical College
columbusstate,Columbus State
coppinstate,Coppin State
easternconnecticutstate,Eastern Connecticut State
georgemason,George Mason
longwood,Longwood
michiganflint,Michigan-Flint
middlegeorgiastate,Middle Georgia State
oakland,Oakland
onondagacc,Onondaga CC
radford,Radford
robertmorrispeoria,Robert Morris-Peoria
shepherdbiblecollege,Shepherd Bible College
siue,SIUE
vcu,VCU
wisconsinparkside,Wisconsin-Parkside
wrightstate,Wright State
ohiotech,Central Ohio Tech
hartford,Hartford
swconnecticutprep,SW Connecticut Prep
caldwell,Caldwell
chestnuthill,Chestnut Hill
franklinpierce,Franklin Pierce
mansfield,Mansfield
post,Post
australia,Australia
austria,Austria
brazil,Brazil
canada,Canada
china,China
finland,Finland
france,France
guatemala,Guatemala
germany,Germany
india,India
italy,Italy
japan,Japan
mexico,Mexico
newzealand,New Zealand
southkorea,South Korea
sweden,Sweden
usa,USA
bath,Bath
birmingham,Birmingham
derby,Derby
durham,Durham
hertfordshire,Hertfordshire
kingston,Kingston
loughborough,Loughborough
ntu,NTU
stirling,Stirling
swansea,Swansea
glasgow,Glasgow
hallam,Hallam
hull,Hull
leedsbeckett,Leeds Beckett
ljm,LJMU
universitymanchester,Manchester (UK)
newcastle,Newcastle
northumbria,Northumbria
nottingham,Nottingham
sheffield,Sheffield
staffordshire,Staffordshire
sunderland,Sunderland
uclan,UCLan
warwick,Warwick
worcester,Worcester
brighton,Brighton
cambridge,Cambridge
cardiff,Cardiff
exeter,Exeter
imperial,Imperial
kent,Kent
oxford,Oxford
portsmouth,Portsmouth
reading,Reading
royalholloway,Royal Holloway
solent,Solent
surrey,Surrey
sussex,Sussex
uea,UEA
uwe,UWE
bangor,Bangor
bradford,Bradford
coventry,Coventry
dmu,DMU
edgehill,Edge Hill
edinburgh,Edinburgh
napier,Edinburgh Napier
heriotwatt,Heriot-Watt
huddersfield,Huddersfield
keele,Keele
lancaster,Lancaster
leeds,Leeds
leicester,Leicester
lincoln,Lincoln (UK)
liverpool,Liverpool
mmu,MMU
northampton,Northampton
teesside,Teesside
westofscotland,West of Scotland
universityyork,York (UK)
aberystwyth,Aberystwyth
angliaruskin,Anglia Ruskin
bathspa,Bath Spa
bnu,BNU
bournemouth,Bournemouth
bristol,Bristol
brunel,Brunel
canterbury,Canterbury
chichester,Chichester
essex,Essex
